id,title,date,description,location,category,url,image_url,scraped_at
435,Primavera siciliana,2025-03-20,"Wystawa Primavera siciliana prezentuje prace studentów i wykładowców Wydziału Konserwacji i Restauracji Dzieł Sztuki Akademii Sztuk Pięknych im. Jana Matejki w Krakowie, powstałe w inspiracji zeszłorocznym objazdem naukowym po Sycylii.","Włoski Instytut Kultury, ul. Grodzka 49",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236235,,primavera-siciliana.html",http://media.krakow.travel/photos/72432/l.jpg,2025-04-15T03:29:16.483559
434,Łukasz Mamica. Re-formy. Morza mody,2025-03-20,"20 marca o 19.00 w Kinie Kijów w Krakowie otwarcie wystawy rzeźb Łukasza Mamicy – konceptualnych, skłaniających do refleksji i skonfrontowania z własnymi doświadczeniami.Re-formy: morza mody to trypty...","Kino Kijów, al. Krasińskiego 34",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236192,,lukasz-mamica--re-formy--morza-mody.html",http://media.krakow.travel/photos/72330/l.jpg,2025-04-15T03:29:15.074828
436,Monika Malinowska. Obrazy i szkice,2025-03-21,"Jej prace pełne są ciepła i dryfują pomiędzy portretem, a pejzażemJest artystką malarką, portrecistką i graficzką. W 2001 roku obroniła dyplom na Wydziale Grafiki Akademii Sztuk Pięknych w Krakowie. Portret i pejzaż to dwa główne, najczęściej powtarzające się motywy w jej sztuce, które realizuje w technice malarstwa olejnego oraz pastelu.","Folwark Kultura w Owczarach, ul. Długa 72",W gminach Metropolii,"https://www.krakow.pl/kalendarium/1919,object,1,2236170,,monika-malinowska--obrazy-i-szkice.html",http://media.krakow.travel/photos/72245/l.jpg,2025-04-15T03:29:17.909620
437,Radosława Burdza i Magdalena Kut. Rejestracje obrazów,2025-03-22,"Prace prezentowane w Klubie Aktora ZASP/SPATiF na Rynku Głównym 41 to wizualny zapis doświadczenia zawodowego w charakterze scenografa: teatralnego i filmowego. Zderzenie scenografii ze świata teatru i filmu pokazuje odmienność wykreowanych przestrzeni, z których powstałe obrazy są podane odbiorcy w różny sposób, poprzez: okno sceny i kadry filmowe. Tytuł wystawy odnosi się do formy przedstawienia realizacji, czyli zapisu fotograficznego wybranych fragmentów scenografii.","Klub Aktora SPATiF, Rynek Główny 41",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236230,,radoslawa-burdza-i-magdalena-kut--rejestracje-obrazow.html",http://media.krakow.travel/photos/72422/l.jpg,2025-04-15T03:29:19.275407
438,Wiosna w mojej gminie,2025-03-24,"Centrum Kultury i Promocji w Igołomi-Wawrzeńczycach serdecznie zaprasza rodzinny z gminy Igołomia- Wawrzeńczyce do udziału w konkursie fotograficznym, który organizujemy w ramach promocji twórczości  talentów.Konkurs ma na celu rozwijanie wrażliwości artystycznej i umiejętności fotograficznych oraz promowanie piękna wiosennej przyrody naszej gminy. Organizatorzy zachęcają do uchwycenia w obiektywie pierwszych oznak wiosny, kwitnących drzew, budzącej się do życia przyrody czy urokliwych zakątków naszej okolicy. Najlepsze prace zostaną nagrodzone oraz zaprezentowane na specjalnej wystawie w siedzibie CKiP.","Centrum Kultury i Promocji w Igołomi-Wawrzeńczycach, Wawrzeńczyce 160",W gminach Metropolii,"https://www.krakow.pl/kalendarium/1919,object,1,2236219,,wiosna-w-mojej-gminie.html",http://media.krakow.travel/photos/72407/l.jpg,2025-04-15T03:29:20.645634
439,Wystawa stała o gen. Emilu Fieldorfie „Nilu”,2025-03-25,Muzeum Armii Krajowej w Krakowie zaprasza na wystawę stałą poświęconą postaci swojego patrona – gen. Emila Fieldorfa „Nila”. Ekspozycja przygotowana została z okazji przypadającej w tym roku 130. rocznicy urodzin generała (przyszedł na świat 20 marca 1895 r. w Krakowie). Pokazując całą jego ścieżkę życiową przedstawia go w dwóch wymiarach: jako człowieka i jako żołnierza.,"Muzeum Armii Krajowej, ul. Wita Stwosza 12",Wystawy stałe,"https://www.krakow.pl/kalendarium/1919,object,1,2236216,,wystawa-stala-o-gen--emilu-fieldorfie--nilu-.html",http://media.krakow.travel/photos/72403/l.jpg,2025-04-15T03:29:22.022353
440,Monika Tarsa. W ramach gór,2025-03-28,"Wystawa „W ramach gór” to podróż przez surowe szczyty, zmienne światło i niepowtarzalną atmosferę górskich krajobrazów, uchwyconą pędzlem i sercem. To opowieść o wędrówce – zarówno tej fizycznej, jak i duchowej – oraz fascynacji naturą, która nieustannie inspiruje i daje siłę.","Nowohuckie Centrum Kultury, al. Jana Pawła II 232",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236239,,monika-tarsa--w-ramach-gor.html",http://media.krakow.travel/photos/72437/l.jpg,2025-04-15T03:29:23.400205
444,ARS LONGA,2025-03-29,Drzeworyty ukiyo-e i shin-hanga z kolekcji Zygmunta Karolaka,"Muzeum Sztuki i Techniki Japońskiej Manggha, ul. Konopnickiej 26",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236213,,ars-longa.html",http://media.krakow.travel/photos/72400/l.jpg,2025-04-15T03:29:29.017219
443,Elegie. Łukasz Stokłosa. Malarstwo,2025-03-29,Zamek Królewski na Wawelu zaprasza na pierwszą w historii jagiellońskiej rezydencji prezentację współczesnych dzieł w formie pełnoprawnej wystawy.,"Zamek Królewski na Wawelu, Wawel 5",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236234,,elegie--lukasz-stoklosa--malarstwo.html",http://media.krakow.travel/photos/72430/l.jpg,2025-04-15T03:29:27.649051
442,Gerard Banach. Moja cisza,2025-03-29,Wystawa w ramach Navigator Festival 2025.,"Nowohuckie Centrum Kultury, al. Jana Pawła II 232",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236240,,gerard-banach--moja-cisza.html",http://media.krakow.travel/photos/72438/l.jpg,2025-04-15T03:29:26.226107
441,Góra i (znowu) góra,2025-03-29,Sto widoków góry Fudżi Hokusaia z kolekcji Eia Nakau,"Muzeum Sztuki i Techniki Japońskiej Manggha, ul. Konopnickiej 26",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236212,,gora-i--znowu--gora.html",http://media.krakow.travel/photos/72399/l.jpg,2025-04-15T03:29:24.805504
445,Monika Zdaniewicz-Wiewiorowska. Malarstwo,2025-03-30,Jej pełne emocji dzieła zabiorą widzów w niezwykłą podróż przez świat natury i ukrytych symboli.,"Zamek Królewski w Niepołomicach, ul. Zamkowa 2",W gminach Metropolii,"https://www.krakow.pl/kalendarium/1919,object,1,2236169,,monika-zdaniewicz-wiewiorowska--malarstwo.html",http://media.krakow.travel/photos/72239/l.jpg,2025-04-15T03:29:30.393239
688,Marek Kordyaczny. Torsy i postacie,2025-04-01,Związek Polskichc Artystów Palstyków Okręg Krakowski zaprasza do galerii Pryzmat na wystawę Marka Kordyacznego.,"Galeria Pryzmat, ul. Łobzowska 3",Wystawy czasowe,"https://www.krakow.pl/kalendarium/1919,object,1,2236237,,marek-kordyaczny--torsy-i-postacie.html",http://media.krakow.travel/photos/72434/l.jpg,2025-04-15T03:51:02.276680
